"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 1, 2025 12:59:25 AM PST","23122531541","Order","113-0145482-8456224","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","TALLAHASSEE","FL","32312","MarketplaceFacilitator","19.69","1.48","0","0","0","0","0","0","0","0","-1.48","-2.95","-7.48","0","0","9.26"
"Mar 1, 2025 1:18:53 AM PST","23122531541","Order","111-1669590-3889055","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","UNION CITY","CA","94587","MarketplaceFacilitator","19.69","2.12","4.51","0","0","0","0","0","-4.51","0","-2.12","-2.95","-7.48","0","0","9.26"
"Mar 1, 2025 1:21:49 AM PST","23122531541","Order","113-2287102-9962609","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","CRESCENT CITY","CA","95531","MarketplaceFacilitator","19.69","1.62","0","0","0","0","0","0","0","0","-1.62","-2.95","-7.48","0","0","9.26"
"Mar 1, 2025 3:38:46 AM PST","23122531541","Order","112-9681218-0041812","GG-4TFN-ZDD4","UV Resin 2000g, Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making, DIY Craf","1","amazon.com","Amazon","PERRYVILLE","AR","72126","MarketplaceFacilitator","48.87","5.01","1.96","0.20","0","0","0","0","0","0","-5.21","-5.86","-9.60","0","0","35.37"
"Mar 1, 2025 4:30:17 AM PST","23122531541","Order","S01-6027371-7598868","GG-4TFN-ZDD4","UV Resin 2000g, Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making, DIY Craft Decoration, Mold, Casting and Coating","1","sim1.stores.amazon.com","Amazon","LA CROSSE","WI","54601","","0","0","0","0","0","0","0","0","0","0","0","0","-13.38","0","0","-13.38"
"Mar 1, 2025 4:58:23 AM PST","23122531541","Order","114-0486140-7711423","EPR-US-UV-3","UV Resin 1000g, Upgrade Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making,","1","amazon.com","Amazon","LAKE VILLA","IL","60046","MarketplaceFacilitator","35.99","2.52","5.50","0","0","0","0","0","0","0","-2.52","-5.40","-11.71","0","0","24.38"
"Mar 1, 2025 5:07:13 AM PST","23122531541","Order","112-4049441-9932265","GG-4TFN-ZDD4","UV Resin 2000g, Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making, DIY Craf","1","amazon.com","Amazon","TRINITY","NC","27370","MarketplaceFacilitator","48.03","3.36","2.99","0","0","0","0","0","-2.99","0","-3.36","-5.76","-7.64","0","0","34.63"
"Mar 1, 2025 5:14:08 AM PST","23122531541","Refund","114-7417261-1528255","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","QUINCY","IL","62301","MarketplaceFacilitator","-19.69","-1.58","0","0","0","0","0","0","0","0","1.58","2.36","0","0","0","-17.33"
"Mar 1, 2025 5:35:54 AM PST","23122531541","Order","112-9469360-3520264","EPR-US-UV-3","UV Resin 1000g, Upgrade Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making,","1","amazon.com","Amazon","marcellus","michigan","49067","MarketplaceFacilitator","35.99","1.94","0","0","0","0","0","0","-3.60","0","-1.94","-4.86","-6.21","0","0","21.32"
"Mar 1, 2025 6:05:36 AM PST","23122531541","Order","113-6567176-4874604","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","HACKETTSTOWN","NJ","07840","MarketplaceFacilitator","19.69","1.30","0.99","0","0","0","0","0","-0.99","0","-1.30","-2.95","-7.48","0","0","9.26"
