"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in local currency, unless specified"
"Definitions:"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates","selling fees","fba fees","other transaction fees","other","total"
"28 Feb 2025 8:47:58 PM UTC","24361783402","Order","402-7693961-2545133","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Sharjah","","","53.99","1.00","-1.00","-5.40","-10.50","0","0","38.09"
"28 Feb 2025 8:50:22 PM UTC","24361783402","Order","171-3089754-2321145","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","53.99","0","0","-5.40","-20.50","0","10.00","38.09"
"28 Feb 2025 9:07:14 PM UTC","24361783402","Order","402-0143685-1234770","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Al Ain","","","45.99","1.43","-1.43","-4.60","-9.45","0","0","31.94"
"28 Feb 2025 9:07:53 PM UTC","24361783402","Order","407-2125528-3553918","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","0.38","-0.38","-4.60","-9.45","0","0","31.94"
"28 Feb 2025 9:36:25 PM UTC","24361783402","Order","171-9537056-3012304","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","الفجيرة","","","53.99","7.00","0","-5.40","-17.50","0","0","38.09"
"28 Feb 2025 9:46:25 PM UTC","24361783402","Order","171-2585619-6586725","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","53.99","5.00","-5.00","-5.40","-15.50","0","5.00","38.09"
"28 Feb 2025 9:48:08 PM UTC","24361783402","Transfer","","","To account ending with: 721","","","","","","","0","0","0","0","0","0","-1,446.11","-1,446.11"
"28 Feb 2025 10:14:36 PM UTC","24361783402","Order","406-9433760-0625125","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Dubai","","","81.89","0","0","-8.19","-11.03","0","0","62.67"
"28 Feb 2025 10:15:33 PM UTC","24361783402","Order","404-2022504-9793963","H1-TUMM-Y2MI","GEEEKART Electric Nail Clipper 2-in-1 with 3 Speeds Nail Clipper Electric With LED Light Type-C Charging Ultra Lightweight Low Noise Easy Elderly Chil","1","amazon.ae","Amazon","Dubai","","","75.05","0","0","-6.00","-9.45","0","0","59.60"
"28 Feb 2025 10:23:15 PM UTC","24361783402","Order","407-7339670-3243548","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","53.99","0","0","-5.40","-10.50","0","0","38.09"
