"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 2, 2025 7:13:08 a.m. PST","23037740321","Service Fee","","","Cost of advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-40.05","0","-40.05"
"Mar 2, 2025 3:41:47 p.m. PST","23037740321","Service Fee","f7d978b7-06fa-4324-9a47-595a25f0e6b0","","Coupon Redemption Fee: Save C$10 on 64oz Epoxy Resin Kit","1","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Mar 3, 2025 10:33:29 a.m. PST","23037740321","Transfer","","","To account ending with: 278","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-471.49","-471.49"
"Mar 4, 2025 7:27:32 a.m. PST","23037740321","Order","702-5491772-5945820","EPR-US-2 gal","Epoxy Resin 2 Gallon Kit, Crystal Clear Epoxy Resin High Gloss, Easy Mix 1:1 Bubbles Free Art Resin for Coating and Casting, Countertop, Table Top, Ri","1","amazon.ca","Amazon","Edmonton","Alberta","T6N 1C","","109.99","0","0","0","0","0","0","0","0","0","0","-16.50","-22.87","-0.33","0","70.29"
"Mar 5, 2025 6:43:18 a.m. PST","23037740321","Refund","701-2793312-5721827","EPR-US-2 gal","Epoxy Resin 2 Gallon Kit, Crystal Clear Epoxy Resin High Gloss, Easy Mix 1:1 Bubbles Free Art Resin for Coating and Casting, Countertop, Table Top, Ri","1","amazon.ca","Amazon","Montreal","Quebec","H3K 1M","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mar 6, 2025 10:40:05 p.m. PST","23037740321","Order","701-8935917-6975416","EPR-US-2 gal","Epoxy Resin 2 Gallon Kit, Crystal Clear Epoxy Resin High Gloss, Easy Mix 1:1 Bubbles Free Art Resin for Coating and Casting, Countertop, Table Top, Ri","1","amazon.ca","Amazon","Clairmont","Alberta","T8X5B","","109.99","0","0","0","0","0","0","0","0","0","0","-16.50","-22.87","-0.33","0","70.29"
"Mar 6, 2025 11:45:10 p.m. PST","23037740321","Order","701-0378605-4613013","EPR-US-2 gal","Epoxy Resin 2 Gallon Kit, Crystal Clear Epoxy Resin High Gloss, Easy Mix 1:1 Bubbles Free Art Resin for Coating and Casting, Countertop, Table Top, Ri","1","amazon.ca","Amazon","Clairmont","Alberta","T8X5B","","109.99","0","0","0","0","0","0","0","0","0","0","-16.50","-22.87","-0.33","0","70.29"
"Mar 7, 2025 6:16:11 a.m. PST","23037740321","Order","701-8489654-7814667","EPR-US-2 gal","Epoxy Resin 2 Gallon Kit, Crystal Clear Epoxy Resin High Gloss, Easy Mix 1:1 Bubbles Free Art Resin for Coating and Casting, Countertop, Table Top, Ri","1","amazon.ca","Amazon","Cantley","Québec","J8V 2V","","109.99","0","0","0","0","0","0","0","0","0","0","-16.50","-22.87","-0.33","0","70.29"
"Mar 8, 2025 10:27:04 a.m. PST","23037740321","Order","702-2346980-1469860","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.ca","Amazon","Granby","Quebec","J2G 9E","","45.99","0","0","0","0","0","0","0","-10.00","0","0","-5.40","-16.38","-0.11","0","14.10"
"Mar 9, 2025 7:45:51 a.m. PDT","23037740321","Order","702-2561715-4500220","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.ca","Amazon","Callander","Ontario","P0H 1H","","35.99","0","0","0","0","0","0","0","0","0","0","-5.40","-16.38","-0.11","0","14.10"
"Mar 10, 2025 2:04:22 a.m. PDT","23037740321","Refund","701-8489654-7814667","EPR-US-2 gal","Epoxy Resin 2 Gallon Kit, Crystal Clear Epoxy Resin High Gloss, Easy Mix 1:1 Bubbles Free Art Resin for Coating and Casting, Countertop, Table Top, Ri","1","amazon.ca","Amazon","Cantley","Québec","J8V 2V","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mar 11, 2025 3:41:01 a.m. PDT","23037740321","Order","701-4347104-2843423","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.ca","Amazon","PETAWAWA","ON","K8H2W","","35.99","0","0","0","0","0","0","0","0","0","0","-5.40","-16.38","-0.11","0","14.10"
"Mar 12, 2025 1:46:59 a.m. PDT","23037740321","Order","701-5671232-7829862","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.ca","Amazon","Gatineau","Quebec","J8Y 2G","","35.99","0","0","0","0","0","0","0","0","0","0","-5.40","-16.38","-0.11","0","14.10"
"Mar 12, 2025 7:19:52 a.m. PDT","23037740321","Order","701-4436042-3568246","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.ca","Amazon","Laval","Quebec","H7A 4J","","35.99","0","0","0","0","0","0","0","0","0","0","-5.40","-16.38","-0.11","0","14.10"
"Mar 12, 2025 8:06:55 a.m. PDT","23037740321","Order","702-1355257-5242613","20221224-US-FBA02","Epoxy Resin 1 Gallon Kit, Crystal Clear Epoxy Resin High Gloss, Easy Mix 1:1 Bubbles Free Art Resin for Coating and Casting, Countertop, Table Top, Ri","1","amazon.ca","Amazon","Les Cedres","Quebec","J7T 3J","","65.99","0","0","0","0","0","0","0","0","0","0","-9.90","-18.80","-0.20","0","37.09"
