"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 1, 2025 12:06:13 AM PST","23107592011","Order","112-2246888-2967449","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","BATON ROUGE","LA","70817","MarketplaceFacilitator","85.31","8.96","0","0","0","0","0","0","0","0","-8.96","-12.80","-12.20","0","0","60.31"
"Mar 1, 2025 1:02:35 AM PST","23107592011","Order","114-7886850-7475432","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","ALTON BAY","NH","03810","","85.31","0","0","0","0","0","0","0","0","0","0","-12.80","-12.20","0","0","60.31"
"Mar 1, 2025 4:27:42 AM PST","23107592011","Order","111-6403985-1039442","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","MONTGOMERY","TX","77316","MarketplaceFacilitator","85.31","6.83","1.49","0","0","0","0","0","-3.99","0","-6.83","-12.42","-12.20","0","0","58.19"
"Mar 1, 2025 4:34:07 AM PST","23107592011","Order","111-6403985-1039442","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","MONTGOMERY","TX","77316","MarketplaceFacilitator","85.31","6.83","1.50","0","0","0","0","0","-4.00","0","-6.83","-12.42","-12.20","0","0","58.19"
"Mar 1, 2025 4:48:39 AM PST","23107592011","Order","S01-3768392-9846865","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","MESA","AZ","85202","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 1, 2025 7:17:18 AM PST","23107592011","Order","112-0361018-4021065","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","SIXES","OR","97476","","85.31","0","0","0","0","0","0","0","0","0","0","-12.80","-12.20","0","0","60.31"
"Mar 1, 2025 10:41:38 AM PST","23107592011","Order","S01-7466859-9979649","51-MQ61-6SU7","YOBTOP Epoxy Resin 80oz Epoxy Resin Kit Crystal Clear High Gloss Self Leveling Bubble Free Not Yellowing Easy to Mix 1:1 for Coating & Casting, DIY Crafts, Jewelry Making, Table Top, River Table","1","sim1.stores.amazon.com","Amazon","GRAFTON","OH","44044","","0","0","0","0","0","0","0","0","0","0","0","0","-14.06","0","0","-14.06"
"Mar 1, 2025 1:22:53 PM PST","23107592011","Order","114-7886850-7475432","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.com","Amazon","ALTON BAY","NH","03810","","85.31","0","0","0","0","0","0","0","0","0","0","-12.80","-12.20","0","0","60.31"
"Mar 1, 2025 3:13:00 PM PST","23107592011","Order","S01-4845500-1061231","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","APOPKA","FL","32712","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
"Mar 2, 2025 5:08:43 AM PST","23107592011","Order","S01-2951399-2876435","ZS-DGQY-G4LL","YOBTOP 1.5 Gallon Deep Pour Epoxy Resin Kit, Crystal Clear, High-Gloss, Low Odor, 2:1 Casting Resin for DIY Molds, Wood River Table, Bar Top","1","sim1.stores.amazon.com","Amazon","HILLIARD","OH","43026","","0","0","0","0","0","0","0","0","0","0","0","0","-20.18","0","0","-20.18"
