"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 1, 2025 12:13:31 AM PST","23108221791","Order","114-6718462-3512208","KK-QXT9-AA51","ButiResin 1000g UV Resin, UV Resin Clear - Fast Curing, Crystal Clear, Odourless, Low Viscosity & Hard Type, UV Resin Kit for DIY Jewelry Making, Cast","1","amazon.com","Amazon","FOLCROFT","PA","19032","MarketplaceFacilitator","33.99","1.80","0","0","0","0","0","0","-4.00","0","-1.80","-4.50","-6.21","0","0","19.28"
"Mar 1, 2025 12:31:28 AM PST","23108221791","Order","114-5611063-8509043","WR-O14M-LWO6","ButiResin 500g UV Resin, UV Resin Clear - Fast Curing, Crystal Clear, Odourless, Low Viscosity & Hard Type, UV Resin Kit for DIY Jewelry Making, Casti","1","amazon.com","Amazon","AUBURN","WA","98001","MarketplaceFacilitator","24.99","2.57","6.99","0.72","0","0","0","0","0","0","-3.29","-3.75","-12.36","0","0","15.87"
"Mar 1, 2025 12:37:22 AM PST","23108221791","Order","113-1135594-3245062","KK-QXT9-AA51","ButiResin 1000g UV Resin, UV Resin Clear - Fast Curing, Crystal Clear, Odourless, Low Viscosity & Hard Type, UV Resin Kit for DIY Jewelry Making, Cast","1","amazon.com","Amazon","BYRON","GA","31008","MarketplaceFacilitator","33.99","2.40","0","0","0","0","0","0","-4.00","0","-2.40","-4.50","-6.21","0","0","19.28"
"Mar 1, 2025 12:53:27 AM PST","23108221791","Adjustment","","BUTI-US-1 Gal","FBA Inventory Reimbursement - Damaged:Warehouse","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.33","33.33"
"Mar 1, 2025 2:23:23 AM PST","23108221791","Order","114-3474256-9490644","WR-O14M-LWO6","ButiResin 500g UV Resin, UV Resin Clear - Fast Curing, Crystal Clear, Odourless, Low Viscosity & Hard Type, UV Resin Kit for DIY Jewelry Making, Casti","1","amazon.com","Amazon","BROOKLET","GA","30415","MarketplaceFacilitator","21.24","1.70","0","0","0","0","0","0","0","0","-3.40","-6.38","-5.37","0","0","7.79"
"Mar 1, 2025 2:23:23 AM PST","23108221791","Order","114-3474256-9490644","WR-O14M-LWO6","ButiResin 500g UV Resin, UV Resin Clear - Fast Curing, Crystal Clear, Odourless, Low Viscosity & Hard Type, UV Resin Kit for DIY Jewelry Making, Casti","1","amazon.com","Amazon","BROOKLET","GA","30415","","21.24","1.70","0","0","0","0","0","0","0","0","0","0","-5.37","0","0","17.57"
"Mar 1, 2025 4:27:52 AM PST","23108221791","Order","S01-6467170-3519613","SG-CUA3-EYLP","ButiResin Silicone Mold Making Kit-32oz Liquid Silicone Rubber for Mold Making,1:1 Mixing Ratio Fast Curing Molding Silicone for Casting, DIY Resin Molds, Candle Molds, Soap Mold, Craft","1","sim1.stores.amazon.com","Amazon","HIGHLAND HEIGHTS","KY","41076","","0","0","0","0","0","0","0","0","0","0","0","0","-11.34","0","0","-11.34"
"Mar 1, 2025 4:47:22 AM PST","23108221791","Order","S01-6077117-5213233","SG-CUA3-EYLP","ButiResin Silicone Mold Making Kit-32oz Liquid Silicone Rubber for Mold Making,1:1 Mixing Ratio Fast Curing Molding Silicone for Casting, DIY Resin Molds, Candle Molds, Soap Mold, Craft","1","sim1.stores.amazon.com","Amazon","LAS VEGAS","NV","89142","","0","0","0","0","0","0","0","0","0","0","0","0","-11.34","0","0","-11.34"
"Mar 1, 2025 5:04:17 AM PST","23108221791","Adjustment","","BUTI-32oz-4H","FBA Inventory Reimbursement - Damaged:Warehouse","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.59","18.59"
"Mar 1, 2025 5:20:22 AM PST","23108221791","Order","S01-5901120-1077268","SG-CUA3-EYLP","ButiResin Silicone Mold Making Kit-32oz Liquid Silicone Rubber for Mold Making,1:1 Mixing Ratio Fast Curing Molding Silicone for Casting, DIY Resin Molds, Candle Molds, Soap Mold, Craft","1","sim1.stores.amazon.com","Amazon","MERCER ISLAND","WA","98040","","0","0","0","0","0","0","0","0","0","0","0","0","-11.34","0","0","-11.34"
