"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 1, 2025 12:01:29 a.m. PST","23008402791","Order","701-0940849-7125042","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","Sussex Corner","New Brunswick","E4E 3B","","109.36","0","0","0","0","0","0","0","-10.94","0","0","-14.76","-22.87","-0.30","0","60.49"
"Mar 1, 2025 12:38:42 a.m. PST","23008402791","Order","702-5247732-4083456","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Ottawa","Ontario","K2J 4A","Combined TCS+MTC","17.85","2.32","0","0","0","0","0","0","0","0","-2.32","-2.68","-7.71","-0.05","0","7.41"
"Mar 1, 2025 1:09:43 a.m. PST","23008402791","Order","701-8666384-8146641","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Rocanville","Saskatchewan","S0A3L","Combined TCS+MTC","17.85","1.96","3.26","0","0","0","0","0","-3.26","0","-1.96","-2.68","-7.71","-0.05","0","7.41"
"Mar 1, 2025 2:16:10 a.m. PST","23008402791","Order","701-0665406-5405040","52-3L6N-882S","YOBTOP Epoxy Resin, 32oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Windsor","Ontario","N8X 3K","Combined TCS+MTC","28.49","3.33","0","0","0","0","0","0","-2.85","0","-3.33","-3.85","-8.84","-0.08","0","12.87"
"Mar 1, 2025 3:28:13 a.m. PST","23008402791","Order","702-1335312-7729062","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","Botwood","Newfoundland","A0H 1E","","109.36","0","0","0","0","0","0","0","0","0","0","-16.40","-22.87","-0.33","0","69.76"
"Mar 1, 2025 6:18:38 a.m. PST","23008402791","Order","702-8268369-7702609","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","North York","Ontario","M9M 2B","Combined TCS+MTC","17.85","2.32","0","0","0","0","0","0","0","0","-2.32","-2.68","-7.71","-0.05","0","7.41"
"Mar 1, 2025 6:49:12 a.m. PST","23008402791","Order","701-2368001-8501015","52-3L6N-882S","YOBTOP Epoxy Resin, 32oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Lunenburg","Ontario","K0C 1R","Combined TCS+MTC","28.49","3.33","0","0","0","0","0","0","-2.85","0","-3.33","-3.85","-8.84","-0.08","0","12.87"
"Mar 1, 2025 7:48:46 a.m. PST","23008402791","Order","701-6921862-1015425","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","Brantford","Ontario","N3S 4M","","109.36","0","0","0","0","0","0","0","0","0","0","-16.40","-22.87","-0.33","0","69.76"
"Mar 1, 2025 7:58:28 a.m. PST","23008402791","Order","702-3031716-5256243","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","Edmonton","Alberta","T6W 1C","Combined TCS+MTC","109.36","5.47","0","0","0","0","0","0","0","0","-5.47","-16.40","-16.89","-0.33","0","75.74"
"Mar 1, 2025 11:36:26 a.m. PST","23008402791","Order","701-1932986-3224205","52-3L6N-882S","YOBTOP Epoxy Resin, 32oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Etobicoke","Ontario","M9V 4M","Combined TCS+MTC","28.49","3.33","0","0","0","0","0","0","-2.85","0","-3.33","-3.85","-8.84","-0.08","0","12.87"
